roc,reb,atr_p,atr_m,mkt_t,mkt_s,Full_CAGR,Full_Calmar,Full_MaxDD,Ret_2020,Ret_2021,Ret_2022,Ret_2023,Ret_2024,Ret_2025
8,3,10,2.0,0.35,10,0.19965793178400593,0.6703069626834133,-0.2978604473758161,0.4124583044333323,0.24091877725964017,-0.18254880613489777,0.23960220684430245,0.278409587378295,0.19844737287572745
8,3,10,2.0,0.35,14,0.20146921113251137,0.7366604364266639,-0.2734899299191128,0.41161803913333217,0.24105654637255736,-0.15527871128602966,0.23198695956721815,0.2712698253648478,0.18461681053974477
8,3,10,2.0,0.35,20,0.20268780133787767,0.7778444057414229,-0.26057627957699386,0.41161803913333217,0.24105654637255736,-0.1040099965783996,0.21873156300072516,0.25862374276010147,0.14765669456570651
8,3,10,2.0,0.4,10,0.2061691746808818,0.8141553404379658,-0.25323075884999463,0.4124583044333323,0.24091877725964017,-0.09492339222182833,0.20303235170754785,0.25961206423899696,0.17032318983257544
8,3,10,2.0,0.4,14,0.20793490917307467,0.9086412953894454,-0.22884157943091654,0.41161803913333217,0.24105654637255736,-0.0676123781837592,0.19717726807174873,0.25339310479436605,0.15774949122419768
8,3,10,2.0,0.4,20,0.210832166742573,0.9454560217141998,-0.22299521278664514,0.41161803913333217,0.24105654637255736,-0.016435509969242368,0.17583112363234887,0.24461657788334046,0.14126993669938614
8,3,10,2.0,0.42,10,0.21689376638572067,0.9431714781485991,-0.22996217698553909,0.4124583044333323,0.24091877725964017,-0.060370501628046025,0.19556626571545754,0.25167099673993,0.2012584773079631
8,3,10,2.0,0.42,14,0.2178093077881711,0.9905629140139682,-0.21988437554719487,0.41161803913333217,0.24105654637255736,-0.03797113894410964,0.19110200483159945,0.24687382091762422,0.18811017196460433
8,3,10,2.0,0.42,20,0.22042096039012393,1.0024403045536716,-0.21988437554719487,0.41161803913333217,0.24105654637255736,0.011762005679861076,0.17093076086680825,0.23882482654501835,0.1713028530033498
8,3,10,2.5,0.35,10,0.19054191740721316,0.5454968502533973,-0.3492997573106087,0.385298759133333,0.17582978736591093,-0.2042692819097166,0.24549592382176355,0.33636895736565764,0.20637590709070341
8,3,10,2.5,0.35,14,0.19241936886269806,0.5936883442123884,-0.32410838234995093,0.38445849383333286,0.17593222890991278,-0.17492814056075978,0.23689898082512206,0.32690783605949547,0.191680518325257
